law_name,category_name
《信访工作条例》,信访处理制度与操作指南
《公安机关信访工作规定》,信访处理制度与操作指南
全省公安机关基层单位主要负责人信访工作责任审计办法（试行）,信访处理制度与操作指南
全省公安机关信访事项终结办法,信访处理制度与操作指南
全省公安机关信访问题责任倒查追究办法,信访处理制度与操作指南
浙江省公安厅机关干部到厅信访窗口,信访处理制度与操作指南
浙江省公安厅部门负责人值守接访制度,信访处理制度与操作指南
全省公安机关信访工作责任制落实规定,信访政策指导与约束机制
全省公安机关推进信访工作法治化实施方案,信访政策指导与约束机制
浙江省公安厅关于加强公安信访工作的实施意见,信访政策指导与约束机制
浙江省公安厅关于公安信访事项办理“一件事”改革指导意见,信访政策指导与约束机制
中共公安部委员会关于深入推进公安信访工作法治化的意见,信访政策指导与约束机制
中央信访工作联席会议办公室 国家信访局关于加强和完善信访事项复查复核工作的指导意见,信访政策指导与约束机制
全省公安机关信访工作“三项建议权”运用办法（试行）,信访政策指导与约束机制
全省公安机关深入运用践行“浦江经验”和“枫桥经验”进一步加强公安信访工作的若干意见,信访政策指导与约束机制
浙江省公安厅领导信访工作“联线包片”机制,信访政策指导与约束机制
全省公安机关人民建议征集工作办法,信访政策指导与约束机制
关于印发《企业诉求平台举报投诉线索规范高效办理“六个一律”》的通知,督察办案指引与举报投诉处理
关于规范举报投诉案（事）件核查报告的通知,督察办案指引与举报投诉处理
浙江省公安厅关于印发《督查检查考核事项审批备案制度》的通知,督察办案指引与举报投诉处理
公安机关警务督察部门办理举报投诉事项工作规范,督察办案指引与举报投诉处理
公安机关督察条例,督察办案指引与举报投诉处理
关于下发《浙江省公安机关警务督察部门办理交办案事件程序规定（试行）》的通知（终）,督察办案指引与举报投诉处理
浙江省公安厅办公室关于进一步统筹规范督察检查考核工作的通知,督察办案指引与举报投诉处理
浙江省公安厅关于进一步规范做好全省公安机关内部视频监控接入工作的通知,督察办案指引与举报投诉处理
厅直机关防止干预司法“三个规定”工作细则,司法干预与责任追究
浙江省公安机关办理干预司法“三个规定”违规线索工作实施细则,司法干预与责任追究
浙江省公安机关办理干预司法“三个规定”违规线索工作实施细则（试行）,司法干预与责任追究
浙江省贯彻执行领导干部干预司法活动、插手具体案件处理的记录、通报和责任追究规定实施办法,司法干预与责任追究
公安机关维护民警执法权威工作规定,公安执法权威与维权
浙江省公安机关维护民警执法权威工作实施办法,公安执法权威与维权
最高人民法院 最高人民检察院关于办理袭警刑事案件适用法律若干问题的解释,公安执法权威与维权
最高人民法院、最高人民检察院、公安部关于依法惩治袭警违法犯罪行为的指导意见,公安执法权威与维权
关于进一步规范使用“民警维权一件事”应用场景的通知（终),公安执法权威与维权
浙江省公安厅关于推广使用“民警维权一件事”应用场景的通知（终）,公安执法权威与维权
浙江省公安厅关于印发《浙江省公安机关民警执勤执法中受侵害慰问救济工作实施办法（试行）》的通知,公安执法权威与维权
浙江省公安厅关于严禁违规查询使用个人信息的若干规定（试行）,公干警察行为纪律与规范
全省公安机关严禁工作日饮酒常态化检查实施办法（试行）,公干警察行为纪律与规范
公安机关人民警察纪律条令,公干警察行为纪律与规范
浙江省公安厅关于印发全省公安机关人民警察执法过错责任追究及依法履职免责若干规定的通知,公干警察行为纪律与规范
公安机关内部人员过问打探工作事项,公干警察行为纪律与规范
中华人民共和国人民警察法,公干警察行为纪律与规范
公安部党风政风警风监督员工作办法,公安警察内部监督与督察机制
浙江省公安厅党风政风警风监督员工作规范,公安警察内部监督与督察机制
浙江省公安机关兼职督察员工作规定（试行）,公安警察内部监督与督察机制
浙江省公安厅关于传发《全省公安机关数字督察中心建设运行规范（试行）》的通知,公安警察内部监督与督察机制
浙江省公安厅关于印发全省公安数字督察三年行动计划（2023-2025年）的通知,公安警察内部监督与督察机制
公安机关内部执法监督工作规定,公安警察内部监督与督察机制
公安机关异地办案协作“六个严禁”,公安警察内部监督与督察机制
公安部关于印发新修订《公安机关实施停止执行职务和禁闭措施的规定》的通知,公安警察内部监督与督察机制
公安机关组织管理条例,公安警察内部监督与督察机制
道路交通事故处理程序规定,公安警察执法程序与规范
公安机关办理国家赔偿案件程序规定,公安警察执法程序与规范
公安机关办理刑事案件程序规定,公安警察执法程序与规范
公安机关办理刑事复议复核案件程序规定,公安警察执法程序与规范
公安机关执法公开规定,公安警察执法程序与规范
中华人民共和国人民警察使用警械和武器条例,公安警察执法程序与规范
