law_name,category_name
财政部 国家发展改革委关于清理规范一批行政事业性收费有关政策的通知(财税〔2017〕20号),审计监督与执法
财政部关于贯彻实施政府会计准则制度的通知（财会〔2018〕21号,财务管理与会计规范
财政部关于加强非税收入退付管理的通知.pdf_(财库〔2020〕23号),财政监督与处罚
财政部关于进一步加强和改进行政事业单位国有资产管理工作的通知(财资〔2018〕108号),审计监督与执法
财政部关于修改《财政票据管理办法》的决定,财政监督与处罚
财政部关于印发《部门决算管理办法》的通知,审计监督与执法
财政部关于印发《工会会计制度》的通知（财会〔2021〕7号）,财务管理与会计规范
财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知（财库〔2014〕214号),政府采购与招投标
《财政部关于印发〈政府非税收入管理办法〉的通知》（财税〔2016〕33号）,审计监督与执法
财政部关于职工探亲路费的规定（财事字〔1981〕第113号）,审计监督与执法
财政票据管理办法(中华人民共和国财政部令104号),财政监督与处罚
财政违法行为处罚处分条例,财政监督与处罚
党政机关办公用房管理办法--2017年,审计监督与执法
党政机关厉行节约反对浪费条例2013.11.25,审计监督与执法
关于调整中央国家机关职工丧葬补助费开支标准的通知（国管财〔2009〕65号）,审计监督与执法
关于规范公务员津贴补贴问题的通知(中纪发【2006】17号),审计监督与执法
关于国家机关工作人员及离退休人员死亡一次性抚恤金发放有关问题的通知（民发〔2011〕192号）,审计监督与执法
关于加强行政事业单位固定资产管理的通知(财资〔2020〕97号),审计监督与执法
关于实行审计全覆盖的实施意见,审计监督与执法
关于印发《中央财政科研项目专家咨询费管理办法》的通知（财科教〔2017〕128号）,审计监督与执法
关于印发《中央和国家机关基层党组织党建活动经费管理办法》的通知（财行〔2017〕324号）,财政监督与处罚
关于转发全国人大常委会办公厅《关于印送 进一步加强各级人大常委会对审计查出突出问题整改情况监督的意见的通知》的函,审计监督与执法
国家发展改革委财政部关于降低部分行政事业性收费标准的通知（发改价格规〔２０１９〕１９３１号）,审计监督与执法
国务院关于改进加强中央财政科研项目和资金管理的若干意见（国发〔2014〕11号）,审计监督与执法
国务院关于公布《国务院关于职工探亲待遇的规定》的通知（国发〔1981〕36号）,审计监督与执法
国务院关于加强审计工作的意见,审计监督与执法
国务院关于进一步深化预算管理制度改革的意见（国发〔2021〕5号）,审计监督与执法
会计档案管理办法（中华人民共和国财政部 国家档案局令第79号）（2015年）,财务管理与会计规范
会计基础工作规范（2019年修订）,财务管理与会计规范
《基本建设财务规则》（财政部令第81号）,财务管理与会计规范
建设工程价款结算暂行办法---2004年,审计监督与执法
人力资源和社会保障部 民政部 财政部关于事业单位工作人员和离退休人员死亡一次性抚恤金发放办法的通知（人社部发〔2008〕42号）,审计监督与执法
人力资源社会保障部 中央组织部 中央编办 财政部关于建立机关事业单位防治“吃空响”问题长效机制的指导意见（人社部规〔2016〕6号）,审计监督与执法
审计署关于内部审计工作的规定,审计监督与执法
十八届中央政治局关于改进工作作风、密切联系群众的八项规定（中共中央政治局2012年12月4日发布),审计监督与执法
事业单位国有资产管理暂行办法(中华人民共和国财政部令第36号),财务管理与会计规范
